Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P72,01.JPG,,,1
Particpant 23255_P72,08.JPG,,,1
Particpant 23255_P72,12.JPG,3,3,1
Particpant 23255_P72,13.JPG,3,3,1
Particpant 23255_P72,14.JPG,1,1,1
Particpant 23255_P72,15.JPG,,,1
Particpant 23255_P72,19.JPG,1,1,1
Particpant 23255_P72,20.JPG,2,2,1
Particpant 23255_P72,21.JPG,3,3,1
Particpant 23255_P72,22.JPG,,,1
Particpant 23255_P72,26.JPG,2,2,1
Particpant 23255_P72,27.JPG,1,3,0
Particpant 23255_P72,28.JPG,3,1,0
Particpant 23255_P72,29.JPG,,,1
Particpant 23255_P72,33.JPG,1,1,1
Particpant 23255_P72,34.JPG,3,3,1
Particpant 23255_P72,35.JPG,1,1,1
Particpant 23255_P72,36.JPG,,,1
Particpant 23255_P72,40.JPG,2,2,1
Particpant 23255_P72,41.JPG,2,2,1
Particpant 23255_P72,42.JPG,1,1,1
Particpant 23255_P72,43.JPG,,,1
Particpant 23255_P72,47.JPG,2,2,1
Particpant 23255_P72,48.JPG,2,2,1
Particpant 23255_P72,49.JPG,3,3,1
Particpant 23255_P72,50.JPG,,,1
Particpant 23255_P72,52.JPG,,,1
Particpant 23255_P72,53.JPG,1,1,1
Particpant 23255_P72,54.JPG,2,2,1
Particpant 23255_P72,55.JPG,3,3,1
Particpant 23255_P72,56.JPG,1,1,1
Particpant 23255_P72,57.JPG,1,2,0
Particpant 23255_P72,58.JPG,3,1,0
Particpant 23255_P72,59.JPG,1,1,1
Particpant 23255_P72,60.JPG,2,0,0
Particpant 23255_P72,61.JPG,3,0,0
Particpant 23255_P72,62.JPG,2,0,0
Particpant 23255_P72,63.JPG,3,3,1
Particpant 23255_P72,64.JPG,1,0,0
Particpant 23255_P72,65.JPG,2,3,0
Particpant 23255_P72,66.JPG,3,3,1
Particpant 23255_P72,67.JPG,1,0,0
Particpant 23255_P72,68.JPG,3,3,1
Particpant 23255_P72,69.JPG,1,3,0
Particpant 23255_P72,70.JPG,2,0,0
Particpant 23255_P72,71.JPG,1,1,1
Particpant 23255_P72,72.JPG,2,2,1
Particpant 23255_P72,73.JPG,3,3,1
Particpant 23255_P72,74.JPG,1,0,0
Particpant 23255_P72,75.JPG,0,0,1
Particpant 23255_P72,76.JPG,0,0,1
Particpant 23255_P72,77.JPG,0,2,0
Particpant 23255_P72,78.JPG,0,0,1
Particpant 23255_P72,79.JPG,0,0,1
Particpant 23255_P72,80.JPG,0,0,1
Particpant 23255_P72,81.JPG,0,3,0
Particpant 23255_P72,82.JPG,0,2,0
Particpant 23255_P72,83.JPG,0,1,0
Particpant 23255_P72,84.JPG,0,2,0
Particpant 23255_P72,85.JPG,0,2,0
Particpant 23255_P72,86.JPG,0,0,1
Particpant 23255_P72,87.JPG,0,0,1
Particpant 23255_P72,88.JPG,0,3,0
Particpant 23255_P72,89.JPG,0,0,1
Particpant 23255_P72,90.JPG,0,1,0
Particpant 23255_P72,91.JPG,0,0,1
Particpant 23255_P72,92.JPG,0,0,1
Particpant 23255_P72,93.JPG,0,0,1
Particpant 23255_P72,94.JPG,0,3,0
Particpant 23255_P72,95.JPG,0,0,1
Particpant 23255_P72,96.JPG,0,0,1
Particpant 23255_P72,97.JPG,0,0,1
Particpant 23255_P72,98.JPG,,,1
Particpant 23255_P72,99.JPG,1,3,0
Particpant 23255_P72,100.JPG,2,2,1
Particpant 23255_P72,101.JPG,1,2,0
Particpant 23255_P72,102.JPG,2,2,1
Particpant 23255_P72,103.JPG,3,1,0
Particpant 23255_P72,104.JPG,1,0,0
Particpant 23255_P72,105.JPG,2,0,0
Particpant 23255_P72,106.JPG,1,0,0
Particpant 23255_P72,107.JPG,3,2,0
Particpant 23255_P72,108.JPG,1,0,0
Particpant 23255_P72,109.JPG,3,3,1
Particpant 23255_P72,110.JPG,1,1,1
Particpant 23255_P72,111.JPG,2,2,1
Particpant 23255_P72,112.JPG,3,0,0
Particpant 23255_P72,113.JPG,2,2,1
Particpant 23255_P72,114.JPG,1,1,1
Particpant 23255_P72,115.JPG,2,2,1
Particpant 23255_P72,116.JPG,3,3,1
Particpant 23255_P72,117.JPG,1,0,0
Particpant 23255_P72,118.JPG,2,1,0
Particpant 23255_P72,119.JPG,3,3,1
Particpant 23255_P72,120.JPG,2,1,0
Particpant 23255_P72,121.JPG,3,0,0
Particpant 23255_P72,122.JPG,0,0,1
Particpant 23255_P72,123.JPG,0,1,0
Particpant 23255_P72,124.JPG,0,2,0
Particpant 23255_P72,125.JPG,0,0,1
Particpant 23255_P72,126.JPG,0,0,1
Particpant 23255_P72,127.JPG,0,1,0
Particpant 23255_P72,128.JPG,0,3,0
Particpant 23255_P72,129.JPG,0,0,1
Particpant 23255_P72,130.JPG,0,1,0
Particpant 23255_P72,131.JPG,0,0,1
Particpant 23255_P72,132.JPG,0,0,1
Particpant 23255_P72,133.JPG,0,3,0
Particpant 23255_P72,134.JPG,0,0,1
Particpant 23255_P72,135.JPG,0,3,0
Particpant 23255_P72,136.JPG,0,3,0
Particpant 23255_P72,137.JPG,0,0,1
Particpant 23255_P72,138.JPG,0,1,0
Particpant 23255_P72,139.JPG,0,3,0
Particpant 23255_P72,140.JPG,0,2,0
Particpant 23255_P72,141.JPG,0,2,0
Particpant 23255_P72,142.JPG,0,1,0
Particpant 23255_P72,143.JPG,0,3,0
Particpant 23255_P72,144.JPG,,,1
