Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P51,01.JPG,,,1
Particpant 23255_P51,08.JPG,,,1
Particpant 23255_P51,12.JPG,3,3,1
Particpant 23255_P51,13.JPG,3,3,1
Particpant 23255_P51,14.JPG,1,1,1
Particpant 23255_P51,15.JPG,,,1
Particpant 23255_P51,19.JPG,1,1,1
Particpant 23255_P51,20.JPG,2,2,1
Particpant 23255_P51,21.JPG,3,3,1
Particpant 23255_P51,22.JPG,,,1
Particpant 23255_P51,26.JPG,2,2,1
Particpant 23255_P51,27.JPG,1,3,0
Particpant 23255_P51,28.JPG,3,1,0
Particpant 23255_P51,29.JPG,,,1
Particpant 23255_P51,33.JPG,1,1,1
Particpant 23255_P51,34.JPG,3,3,1
Particpant 23255_P51,35.JPG,1,1,1
Particpant 23255_P51,36.JPG,,,1
Particpant 23255_P51,40.JPG,2,2,1
Particpant 23255_P51,41.JPG,2,2,1
Particpant 23255_P51,42.JPG,1,1,1
Particpant 23255_P51,43.JPG,,,1
Particpant 23255_P51,47.JPG,2,2,1
Particpant 23255_P51,48.JPG,2,2,1
Particpant 23255_P51,49.JPG,3,3,1
Particpant 23255_P51,50.JPG,,,1
Particpant 23255_P51,52.JPG,,,1
Particpant 23255_P51,53.JPG,1,1,1
Particpant 23255_P51,54.JPG,2,2,1
Particpant 23255_P51,55.JPG,3,3,1
Particpant 23255_P51,56.JPG,1,1,1
Particpant 23255_P51,57.JPG,1,2,0
Particpant 23255_P51,58.JPG,3,3,1
Particpant 23255_P51,59.JPG,1,1,1
Particpant 23255_P51,60.JPG,2,2,1
Particpant 23255_P51,61.JPG,3,3,1
Particpant 23255_P51,62.JPG,2,2,1
Particpant 23255_P51,63.JPG,3,1,0
Particpant 23255_P51,64.JPG,1,1,1
Particpant 23255_P51,65.JPG,2,2,1
Particpant 23255_P51,66.JPG,3,3,1
Particpant 23255_P51,67.JPG,1,1,1
Particpant 23255_P51,68.JPG,3,3,1
Particpant 23255_P51,69.JPG,1,1,1
Particpant 23255_P51,70.JPG,2,1,0
Particpant 23255_P51,71.JPG,1,1,1
Particpant 23255_P51,72.JPG,2,2,1
Particpant 23255_P51,73.JPG,3,3,1
Particpant 23255_P51,74.JPG,1,1,1
Particpant 23255_P51,75.JPG,0,2,0
Particpant 23255_P51,76.JPG,0,1,0
Particpant 23255_P51,77.JPG,0,2,0
Particpant 23255_P51,78.JPG,0,2,0
Particpant 23255_P51,79.JPG,0,3,0
Particpant 23255_P51,80.JPG,0,1,0
Particpant 23255_P51,81.JPG,0,3,0
Particpant 23255_P51,82.JPG,0,3,0
Particpant 23255_P51,83.JPG,0,1,0
Particpant 23255_P51,84.JPG,0,3,0
Particpant 23255_P51,85.JPG,0,1,0
Particpant 23255_P51,86.JPG,0,1,0
Particpant 23255_P51,87.JPG,0,2,0
Particpant 23255_P51,88.JPG,0,1,0
Particpant 23255_P51,89.JPG,0,3,0
Particpant 23255_P51,90.JPG,0,3,0
Particpant 23255_P51,91.JPG,0,1,0
Particpant 23255_P51,92.JPG,0,1,0
Particpant 23255_P51,93.JPG,0,3,0
Particpant 23255_P51,94.JPG,0,1,0
Particpant 23255_P51,95.JPG,0,3,0
Particpant 23255_P51,96.JPG,0,0,1
Particpant 23255_P51,97.JPG,0,0,1
Particpant 23255_P51,98.JPG,,,1
Particpant 23255_P51,99.JPG,1,0,0
Particpant 23255_P51,100.JPG,2,2,1
Particpant 23255_P51,101.JPG,1,0,0
Particpant 23255_P51,102.JPG,2,2,1
Particpant 23255_P51,103.JPG,3,1,0
Particpant 23255_P51,104.JPG,1,1,1
Particpant 23255_P51,105.JPG,2,0,0
Particpant 23255_P51,106.JPG,1,0,0
Particpant 23255_P51,107.JPG,3,1,0
Particpant 23255_P51,108.JPG,1,1,1
Particpant 23255_P51,109.JPG,3,0,0
Particpant 23255_P51,110.JPG,1,3,0
Particpant 23255_P51,111.JPG,2,3,0
Particpant 23255_P51,112.JPG,3,0,0
Particpant 23255_P51,113.JPG,2,0,0
Particpant 23255_P51,114.JPG,1,0,0
Particpant 23255_P51,115.JPG,2,2,1
Particpant 23255_P51,116.JPG,3,0,0
Particpant 23255_P51,117.JPG,1,1,1
Particpant 23255_P51,118.JPG,2,2,1
Particpant 23255_P51,119.JPG,3,3,1
Particpant 23255_P51,120.JPG,2,2,1
Particpant 23255_P51,121.JPG,3,0,0
Particpant 23255_P51,122.JPG,0,0,1
Particpant 23255_P51,123.JPG,0,0,1
Particpant 23255_P51,124.JPG,0,2,0
Particpant 23255_P51,125.JPG,0,0,1
Particpant 23255_P51,126.JPG,0,0,1
Particpant 23255_P51,127.JPG,0,2,0
Particpant 23255_P51,128.JPG,0,0,1
Particpant 23255_P51,129.JPG,0,0,1
Particpant 23255_P51,130.JPG,0,0,1
Particpant 23255_P51,131.JPG,0,0,1
Particpant 23255_P51,132.JPG,0,0,1
Particpant 23255_P51,133.JPG,0,1,0
Particpant 23255_P51,134.JPG,0,0,1
Particpant 23255_P51,135.JPG,0,2,0
Particpant 23255_P51,136.JPG,0,3,0
Particpant 23255_P51,137.JPG,0,3,0
Particpant 23255_P51,138.JPG,0,3,0
Particpant 23255_P51,139.JPG,0,0,1
Particpant 23255_P51,140.JPG,0,3,0
Particpant 23255_P51,141.JPG,0,0,1
Particpant 23255_P51,142.JPG,0,0,1
Particpant 23255_P51,143.JPG,0,0,1
Particpant 23255_P51,144.JPG,,,1
