Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P53,01.JPG,,,1
Particpant 23255_P53,08.JPG,,,1
Particpant 23255_P53,12.JPG,3,3,1
Particpant 23255_P53,13.JPG,3,3,1
Particpant 23255_P53,14.JPG,1,1,1
Particpant 23255_P53,15.JPG,,,1
Particpant 23255_P53,19.JPG,1,1,1
Particpant 23255_P53,20.JPG,2,2,1
Particpant 23255_P53,21.JPG,3,3,1
Particpant 23255_P53,22.JPG,,,1
Particpant 23255_P53,26.JPG,2,2,1
Particpant 23255_P53,27.JPG,1,3,0
Particpant 23255_P53,28.JPG,3,1,0
Particpant 23255_P53,29.JPG,,,1
Particpant 23255_P53,33.JPG,1,1,1
Particpant 23255_P53,34.JPG,3,3,1
Particpant 23255_P53,35.JPG,1,1,1
Particpant 23255_P53,36.JPG,,,1
Particpant 23255_P53,40.JPG,2,2,1
Particpant 23255_P53,41.JPG,2,2,1
Particpant 23255_P53,42.JPG,1,1,1
Particpant 23255_P53,43.JPG,,,1
Particpant 23255_P53,47.JPG,2,2,1
Particpant 23255_P53,48.JPG,2,2,1
Particpant 23255_P53,49.JPG,3,3,1
Particpant 23255_P53,50.JPG,,,1
Particpant 23255_P53,52.JPG,,,1
Particpant 23255_P53,53.JPG,1,1,1
Particpant 23255_P53,54.JPG,2,0,0
Particpant 23255_P53,55.JPG,3,3,1
Particpant 23255_P53,56.JPG,1,1,1
Particpant 23255_P53,57.JPG,1,0,0
Particpant 23255_P53,58.JPG,3,3,1
Particpant 23255_P53,59.JPG,1,0,0
Particpant 23255_P53,60.JPG,2,2,1
Particpant 23255_P53,61.JPG,3,3,1
Particpant 23255_P53,62.JPG,2,2,1
Particpant 23255_P53,63.JPG,3,0,0
Particpant 23255_P53,64.JPG,1,1,1
Particpant 23255_P53,65.JPG,2,0,0
Particpant 23255_P53,66.JPG,3,3,1
Particpant 23255_P53,67.JPG,1,0,0
Particpant 23255_P53,68.JPG,3,0,0
Particpant 23255_P53,69.JPG,1,2,0
Particpant 23255_P53,70.JPG,2,2,1
Particpant 23255_P53,71.JPG,1,0,0
Particpant 23255_P53,72.JPG,2,2,1
Particpant 23255_P53,73.JPG,3,3,1
Particpant 23255_P53,74.JPG,1,1,1
Particpant 23255_P53,75.JPG,0,0,1
Particpant 23255_P53,76.JPG,0,1,0
Particpant 23255_P53,77.JPG,0,0,1
Particpant 23255_P53,78.JPG,0,0,1
Particpant 23255_P53,79.JPG,0,0,1
Particpant 23255_P53,80.JPG,0,0,1
Particpant 23255_P53,81.JPG,0,0,1
Particpant 23255_P53,82.JPG,0,3,0
Particpant 23255_P53,83.JPG,0,0,1
Particpant 23255_P53,84.JPG,0,1,0
Particpant 23255_P53,85.JPG,0,0,1
Particpant 23255_P53,86.JPG,0,0,1
Particpant 23255_P53,87.JPG,0,2,0
Particpant 23255_P53,88.JPG,0,3,0
Particpant 23255_P53,89.JPG,0,3,0
Particpant 23255_P53,90.JPG,0,0,1
Particpant 23255_P53,91.JPG,0,0,1
Particpant 23255_P53,92.JPG,0,3,0
Particpant 23255_P53,93.JPG,0,0,1
Particpant 23255_P53,94.JPG,0,0,1
Particpant 23255_P53,95.JPG,0,0,1
Particpant 23255_P53,96.JPG,0,3,0
Particpant 23255_P53,97.JPG,0,0,1
Particpant 23255_P53,98.JPG,,,1
Particpant 23255_P53,99.JPG,1,1,1
Particpant 23255_P53,100.JPG,2,0,0
Particpant 23255_P53,101.JPG,1,1,1
Particpant 23255_P53,102.JPG,2,2,1
Particpant 23255_P53,103.JPG,3,0,0
Particpant 23255_P53,104.JPG,1,0,0
Particpant 23255_P53,105.JPG,2,0,0
Particpant 23255_P53,106.JPG,1,0,0
Particpant 23255_P53,107.JPG,3,3,1
Particpant 23255_P53,108.JPG,1,1,1
Particpant 23255_P53,109.JPG,3,0,0
Particpant 23255_P53,110.JPG,1,0,0
Particpant 23255_P53,111.JPG,2,0,0
Particpant 23255_P53,112.JPG,3,3,1
Particpant 23255_P53,113.JPG,2,2,1
Particpant 23255_P53,114.JPG,1,0,0
Particpant 23255_P53,115.JPG,2,0,0
Particpant 23255_P53,116.JPG,3,0,0
Particpant 23255_P53,117.JPG,1,1,1
Particpant 23255_P53,118.JPG,2,3,0
Particpant 23255_P53,119.JPG,3,0,0
Particpant 23255_P53,120.JPG,2,2,1
Particpant 23255_P53,121.JPG,3,1,0
Particpant 23255_P53,122.JPG,0,2,0
Particpant 23255_P53,123.JPG,0,0,1
Particpant 23255_P53,124.JPG,0,3,0
Particpant 23255_P53,125.JPG,0,2,0
Particpant 23255_P53,126.JPG,0,1,0
Particpant 23255_P53,127.JPG,0,3,0
Particpant 23255_P53,128.JPG,0,2,0
Particpant 23255_P53,129.JPG,0,0,1
Particpant 23255_P53,130.JPG,0,0,1
Particpant 23255_P53,131.JPG,0,0,1
Particpant 23255_P53,132.JPG,0,1,0
Particpant 23255_P53,133.JPG,0,0,1
Particpant 23255_P53,134.JPG,0,0,1
Particpant 23255_P53,135.JPG,0,0,1
Particpant 23255_P53,136.JPG,0,1,0
Particpant 23255_P53,137.JPG,0,3,0
Particpant 23255_P53,138.JPG,0,1,0
Particpant 23255_P53,139.JPG,0,2,0
Particpant 23255_P53,140.JPG,0,0,1
Particpant 23255_P53,141.JPG,0,0,1
Particpant 23255_P53,142.JPG,0,3,0
Particpant 23255_P53,143.JPG,0,0,1
Particpant 23255_P53,144.JPG,,,1
