Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P20SY,01.JPG,,,1
Particpant 23255_P20SY,08.JPG,,,1
Particpant 23255_P20SY,12.JPG,3,3,1
Particpant 23255_P20SY,13.JPG,3,3,1
Particpant 23255_P20SY,14.JPG,1,1,1
Particpant 23255_P20SY,15.JPG,,,1
Particpant 23255_P20SY,19.JPG,1,1,1
Particpant 23255_P20SY,20.JPG,2,2,1
Particpant 23255_P20SY,21.JPG,3,3,1
Particpant 23255_P20SY,22.JPG,,,1
Particpant 23255_P20SY,26.JPG,2,2,1
Particpant 23255_P20SY,27.JPG,1,3,0
Particpant 23255_P20SY,28.JPG,3,1,0
Particpant 23255_P20SY,29.JPG,,,1
Particpant 23255_P20SY,33.JPG,1,1,1
Particpant 23255_P20SY,34.JPG,3,3,1
Particpant 23255_P20SY,35.JPG,1,1,1
Particpant 23255_P20SY,36.JPG,,,1
Particpant 23255_P20SY,40.JPG,2,2,1
Particpant 23255_P20SY,41.JPG,2,2,1
Particpant 23255_P20SY,42.JPG,1,1,1
Particpant 23255_P20SY,43.JPG,,,1
Particpant 23255_P20SY,47.JPG,2,2,1
Particpant 23255_P20SY,48.JPG,2,2,1
Particpant 23255_P20SY,49.JPG,3,3,1
Particpant 23255_P20SY,50.JPG,,,1
Particpant 23255_P20SY,52.JPG,,,1
Particpant 23255_P20SY,53.JPG,1,1,1
Particpant 23255_P20SY,54.JPG,2,2,1
Particpant 23255_P20SY,55.JPG,3,3,1
Particpant 23255_P20SY,56.JPG,1,0,0
Particpant 23255_P20SY,57.JPG,1,0,0
Particpant 23255_P20SY,58.JPG,3,0,0
Particpant 23255_P20SY,59.JPG,1,0,0
Particpant 23255_P20SY,60.JPG,2,2,1
Particpant 23255_P20SY,61.JPG,3,0,0
Particpant 23255_P20SY,62.JPG,2,2,1
Particpant 23255_P20SY,63.JPG,3,3,1
Particpant 23255_P20SY,64.JPG,1,1,1
