Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P70,01.JPG,,,1
Particpant 23255_P70,08.JPG,,,1
Particpant 23255_P70,12.JPG,3,3,1
Particpant 23255_P70,13.JPG,3,3,1
Particpant 23255_P70,14.JPG,1,1,1
Particpant 23255_P70,15.JPG,,,1
Particpant 23255_P70,19.JPG,1,1,1
Particpant 23255_P70,20.JPG,2,2,1
Particpant 23255_P70,21.JPG,3,3,1
Particpant 23255_P70,22.JPG,,,1
Particpant 23255_P70,26.JPG,2,2,1
Particpant 23255_P70,27.JPG,1,3,0
Particpant 23255_P70,28.JPG,3,1,0
Particpant 23255_P70,29.JPG,,,1
Particpant 23255_P70,33.JPG,1,1,1
Particpant 23255_P70,34.JPG,3,3,1
Particpant 23255_P70,35.JPG,1,1,1
Particpant 23255_P70,36.JPG,,,1
Particpant 23255_P70,40.JPG,2,2,1
Particpant 23255_P70,41.JPG,2,2,1
Particpant 23255_P70,42.JPG,1,1,1
Particpant 23255_P70,43.JPG,,,1
Particpant 23255_P70,47.JPG,2,2,1
Particpant 23255_P70,48.JPG,2,2,1
Particpant 23255_P70,49.JPG,3,3,1
Particpant 23255_P70,50.JPG,,,1
Particpant 23255_P70,52.JPG,,,1
Particpant 23255_P70,53.JPG,1,0,0
Particpant 23255_P70,54.JPG,2,2,1
Particpant 23255_P70,55.JPG,3,3,1
Particpant 23255_P70,56.JPG,1,1,1
Particpant 23255_P70,57.JPG,1,0,0
Particpant 23255_P70,58.JPG,3,0,0
Particpant 23255_P70,59.JPG,1,0,0
Particpant 23255_P70,60.JPG,2,2,1
Particpant 23255_P70,61.JPG,3,2,0
Particpant 23255_P70,62.JPG,2,0,0
Particpant 23255_P70,63.JPG,3,1,0
Particpant 23255_P70,64.JPG,1,1,1
Particpant 23255_P70,65.JPG,2,2,1
Particpant 23255_P70,66.JPG,3,3,1
Particpant 23255_P70,67.JPG,1,1,1
Particpant 23255_P70,68.JPG,3,3,1
Particpant 23255_P70,69.JPG,1,0,0
Particpant 23255_P70,70.JPG,2,0,0
Particpant 23255_P70,71.JPG,1,1,1
Particpant 23255_P70,72.JPG,2,3,0
Particpant 23255_P70,73.JPG,3,2,0
Particpant 23255_P70,74.JPG,1,0,0
Particpant 23255_P70,75.JPG,0,0,1
Particpant 23255_P70,76.JPG,0,0,1
Particpant 23255_P70,77.JPG,0,0,1
Particpant 23255_P70,78.JPG,0,0,1
Particpant 23255_P70,79.JPG,0,2,0
Particpant 23255_P70,80.JPG,0,0,1
Particpant 23255_P70,81.JPG,0,0,1
Particpant 23255_P70,82.JPG,0,2,0
Particpant 23255_P70,83.JPG,0,3,0
Particpant 23255_P70,84.JPG,0,0,1
Particpant 23255_P70,85.JPG,0,0,1
Particpant 23255_P70,86.JPG,0,0,1
Particpant 23255_P70,87.JPG,0,0,1
Particpant 23255_P70,88.JPG,0,3,0
Particpant 23255_P70,89.JPG,0,1,0
Particpant 23255_P70,90.JPG,0,0,1
Particpant 23255_P70,91.JPG,0,2,0
Particpant 23255_P70,92.JPG,0,0,1
Particpant 23255_P70,93.JPG,0,0,1
Particpant 23255_P70,94.JPG,0,0,1
Particpant 23255_P70,95.JPG,0,1,0
Particpant 23255_P70,96.JPG,0,0,1
Particpant 23255_P70,97.JPG,0,0,1
Particpant 23255_P70,98.JPG,,,1
Particpant 23255_P70,99.JPG,1,0,0
Particpant 23255_P70,100.JPG,2,0,0
Particpant 23255_P70,101.JPG,1,0,0
Particpant 23255_P70,102.JPG,2,0,0
Particpant 23255_P70,103.JPG,3,0,0
Particpant 23255_P70,104.JPG,1,3,0
Particpant 23255_P70,105.JPG,2,1,0
Particpant 23255_P70,106.JPG,1,0,0
Particpant 23255_P70,107.JPG,3,0,0
Particpant 23255_P70,108.JPG,1,0,0
Particpant 23255_P70,109.JPG,3,0,0
Particpant 23255_P70,110.JPG,1,0,0
Particpant 23255_P70,111.JPG,2,0,0
Particpant 23255_P70,112.JPG,3,0,0
Particpant 23255_P70,113.JPG,2,0,0
Particpant 23255_P70,114.JPG,1,1,1
Particpant 23255_P70,115.JPG,2,2,1
Particpant 23255_P70,116.JPG,3,0,0
Particpant 23255_P70,117.JPG,1,3,0
Particpant 23255_P70,118.JPG,2,0,0
Particpant 23255_P70,119.JPG,3,0,0
Particpant 23255_P70,120.JPG,2,0,0
Particpant 23255_P70,121.JPG,3,0,0
Particpant 23255_P70,122.JPG,0,0,1
Particpant 23255_P70,123.JPG,0,0,1
Particpant 23255_P70,124.JPG,0,0,1
Particpant 23255_P70,125.JPG,0,0,1
Particpant 23255_P70,126.JPG,0,3,0
Particpant 23255_P70,127.JPG,0,2,0
Particpant 23255_P70,128.JPG,0,3,0
Particpant 23255_P70,129.JPG,0,2,0
Particpant 23255_P70,130.JPG,0,0,1
Particpant 23255_P70,131.JPG,0,2,0
Particpant 23255_P70,132.JPG,0,0,1
Particpant 23255_P70,133.JPG,0,0,1
Particpant 23255_P70,134.JPG,0,0,1
Particpant 23255_P70,135.JPG,0,0,1
Particpant 23255_P70,136.JPG,0,0,1
Particpant 23255_P70,137.JPG,0,0,1
Particpant 23255_P70,138.JPG,0,2,0
Particpant 23255_P70,139.JPG,0,3,0
Particpant 23255_P70,140.JPG,0,3,0
Particpant 23255_P70,141.JPG,0,0,1
Particpant 23255_P70,142.JPG,0,0,1
Particpant 23255_P70,143.JPG,0,0,1
Particpant 23255_P70,144.JPG,,,1
