Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P54,01.JPG,,,1
Particpant 23255_P54,08.JPG,,,1
Particpant 23255_P54,12.JPG,3,3,1
Particpant 23255_P54,13.JPG,3,3,1
Particpant 23255_P54,14.JPG,1,1,1
Particpant 23255_P54,15.JPG,,,1
Particpant 23255_P54,19.JPG,1,1,1
Particpant 23255_P54,20.JPG,2,2,1
Particpant 23255_P54,21.JPG,3,3,1
Particpant 23255_P54,22.JPG,,,1
Particpant 23255_P54,26.JPG,2,2,1
Particpant 23255_P54,27.JPG,1,3,0
Particpant 23255_P54,28.JPG,3,1,0
Particpant 23255_P54,29.JPG,,,1
Particpant 23255_P54,33.JPG,1,1,1
Particpant 23255_P54,34.JPG,3,3,1
Particpant 23255_P54,35.JPG,1,1,1
Particpant 23255_P54,36.JPG,,,1
Particpant 23255_P54,40.JPG,2,2,1
Particpant 23255_P54,41.JPG,2,2,1
Particpant 23255_P54,42.JPG,1,1,1
Particpant 23255_P54,43.JPG,,,1
Particpant 23255_P54,47.JPG,2,2,1
Particpant 23255_P54,48.JPG,2,2,1
Particpant 23255_P54,49.JPG,3,3,1
Particpant 23255_P54,50.JPG,,,1
Particpant 23255_P54,52.JPG,,,1
Particpant 23255_P54,53.JPG,1,1,1
Particpant 23255_P54,54.JPG,2,2,1
Particpant 23255_P54,55.JPG,3,3,1
Particpant 23255_P54,56.JPG,1,1,1
Particpant 23255_P54,57.JPG,1,0,0
Particpant 23255_P54,58.JPG,3,0,0
Particpant 23255_P54,59.JPG,1,1,1
Particpant 23255_P54,60.JPG,2,2,1
Particpant 23255_P54,61.JPG,3,0,0
Particpant 23255_P54,62.JPG,2,0,0
Particpant 23255_P54,63.JPG,3,3,1
Particpant 23255_P54,64.JPG,1,1,1
Particpant 23255_P54,65.JPG,2,2,1
Particpant 23255_P54,66.JPG,3,3,1
Particpant 23255_P54,67.JPG,1,1,1
Particpant 23255_P54,68.JPG,3,3,1
Particpant 23255_P54,69.JPG,1,0,0
Particpant 23255_P54,70.JPG,2,2,1
Particpant 23255_P54,71.JPG,1,1,1
Particpant 23255_P54,72.JPG,2,2,1
Particpant 23255_P54,73.JPG,3,3,1
Particpant 23255_P54,74.JPG,1,1,1
Particpant 23255_P54,75.JPG,0,0,1
Particpant 23255_P54,76.JPG,0,1,0
Particpant 23255_P54,77.JPG,0,0,1
Particpant 23255_P54,78.JPG,0,0,1
Particpant 23255_P54,79.JPG,0,2,0
Particpant 23255_P54,80.JPG,0,0,1
Particpant 23255_P54,81.JPG,0,0,1
Particpant 23255_P54,82.JPG,0,0,1
Particpant 23255_P54,83.JPG,0,2,0
Particpant 23255_P54,84.JPG,0,2,0
Particpant 23255_P54,85.JPG,0,0,1
Particpant 23255_P54,86.JPG,0,0,1
Particpant 23255_P54,87.JPG,0,0,1
Particpant 23255_P54,88.JPG,0,3,0
Particpant 23255_P54,89.JPG,0,1,0
Particpant 23255_P54,90.JPG,0,0,1
Particpant 23255_P54,91.JPG,0,0,1
Particpant 23255_P54,92.JPG,0,0,1
Particpant 23255_P54,93.JPG,0,0,1
Particpant 23255_P54,94.JPG,0,3,0
Particpant 23255_P54,95.JPG,0,1,0
Particpant 23255_P54,96.JPG,0,1,0
Particpant 23255_P54,97.JPG,0,1,0
Particpant 23255_P54,98.JPG,,,1
Particpant 23255_P54,99.JPG,1,1,1
Particpant 23255_P54,100.JPG,2,2,1
Particpant 23255_P54,101.JPG,1,3,0
Particpant 23255_P54,102.JPG,2,2,1
Particpant 23255_P54,103.JPG,3,1,0
Particpant 23255_P54,104.JPG,1,0,0
Particpant 23255_P54,105.JPG,2,1,0
Particpant 23255_P54,106.JPG,1,3,0
Particpant 23255_P54,107.JPG,3,2,0
Particpant 23255_P54,108.JPG,1,0,0
Particpant 23255_P54,109.JPG,3,3,1
Particpant 23255_P54,110.JPG,1,0,0
Particpant 23255_P54,111.JPG,2,2,1
Particpant 23255_P54,112.JPG,3,0,0
Particpant 23255_P54,113.JPG,2,2,1
Particpant 23255_P54,114.JPG,1,1,1
Particpant 23255_P54,115.JPG,2,2,1
Particpant 23255_P54,116.JPG,3,0,0
Particpant 23255_P54,117.JPG,1,1,1
Particpant 23255_P54,118.JPG,2,0,0
Particpant 23255_P54,119.JPG,3,3,1
Particpant 23255_P54,120.JPG,2,2,1
Particpant 23255_P54,121.JPG,3,3,1
Particpant 23255_P54,122.JPG,0,1,0
Particpant 23255_P54,123.JPG,0,3,0
Particpant 23255_P54,124.JPG,0,2,0
Particpant 23255_P54,125.JPG,0,0,1
Particpant 23255_P54,126.JPG,0,0,1
Particpant 23255_P54,127.JPG,0,1,0
Particpant 23255_P54,128.JPG,0,0,1
Particpant 23255_P54,129.JPG,0,0,1
Particpant 23255_P54,130.JPG,0,0,1
Particpant 23255_P54,131.JPG,0,2,0
Particpant 23255_P54,132.JPG,0,0,1
Particpant 23255_P54,133.JPG,0,0,1
Particpant 23255_P54,134.JPG,0,0,1
Particpant 23255_P54,135.JPG,0,0,1
Particpant 23255_P54,136.JPG,0,0,1
Particpant 23255_P54,137.JPG,0,3,0
Particpant 23255_P54,138.JPG,0,0,1
Particpant 23255_P54,139.JPG,0,2,0
Particpant 23255_P54,140.JPG,0,3,0
Particpant 23255_P54,141.JPG,0,2,0
Particpant 23255_P54,142.JPG,0,2,0
Particpant 23255_P54,143.JPG,0,0,1
Particpant 23255_P54,144.JPG,,,1
