Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P10,01.JPG,,,1
Particpant 23255_P10,08.JPG,,,1
Particpant 23255_P10,12.JPG,3,3,1
Particpant 23255_P10,13.JPG,3,3,1
Particpant 23255_P10,14.JPG,1,1,1
Particpant 23255_P10,15.JPG,,,1
Particpant 23255_P10,19.JPG,1,1,1
Particpant 23255_P10,20.JPG,2,2,1
Particpant 23255_P10,21.JPG,3,3,1
Particpant 23255_P10,22.JPG,,,1
Particpant 23255_P10,26.JPG,2,2,1
Particpant 23255_P10,27.JPG,1,3,0
Particpant 23255_P10,28.JPG,3,1,0
Particpant 23255_P10,29.JPG,,,1
Particpant 23255_P10,33.JPG,1,1,1
Particpant 23255_P10,34.JPG,3,3,1
Particpant 23255_P10,35.JPG,1,1,1
Particpant 23255_P10,36.JPG,,,1
Particpant 23255_P10,40.JPG,2,2,1
Particpant 23255_P10,41.JPG,2,2,1
Particpant 23255_P10,42.JPG,1,1,1
Particpant 23255_P10,43.JPG,,,1
Particpant 23255_P10,47.JPG,2,2,1
Particpant 23255_P10,48.JPG,2,2,1
Particpant 23255_P10,49.JPG,3,3,1
Particpant 23255_P10,50.JPG,,,1
Particpant 23255_P10,52.JPG,,,1
Particpant 23255_P10,53.JPG,1,0,0
Particpant 23255_P10,54.JPG,2,0,0
Particpant 23255_P10,55.JPG,3,3,1
Particpant 23255_P10,56.JPG,1,1,1
Particpant 23255_P10,57.JPG,1,0,0
Particpant 23255_P10,58.JPG,3,2,0
Particpant 23255_P10,59.JPG,1,0,0
Particpant 23255_P10,60.JPG,2,2,1
Particpant 23255_P10,61.JPG,3,1,0
Particpant 23255_P10,62.JPG,2,2,1
Particpant 23255_P10,63.JPG,3,1,0
Particpant 23255_P10,64.JPG,1,1,1
Particpant 23255_P10,65.JPG,2,2,1
Particpant 23255_P10,66.JPG,3,3,1
Particpant 23255_P10,67.JPG,1,1,1
Particpant 23255_P10,68.JPG,3,3,1
Particpant 23255_P10,69.JPG,1,1,1
Particpant 23255_P10,70.JPG,2,0,0
Particpant 23255_P10,71.JPG,1,1,1
Particpant 23255_P10,72.JPG,2,2,1
Particpant 23255_P10,73.JPG,3,3,1
Particpant 23255_P10,74.JPG,1,1,1
Particpant 23255_P10,75.JPG,0,0,1
Particpant 23255_P10,76.JPG,0,0,1
Particpant 23255_P10,77.JPG,0,0,1
Particpant 23255_P10,78.JPG,0,1,0
Particpant 23255_P10,79.JPG,0,0,1
Particpant 23255_P10,80.JPG,0,0,1
Particpant 23255_P10,81.JPG,0,0,1
Particpant 23255_P10,82.JPG,0,2,0
Particpant 23255_P10,83.JPG,0,0,1
Particpant 23255_P10,84.JPG,0,2,0
Particpant 23255_P10,85.JPG,0,0,1
Particpant 23255_P10,86.JPG,0,0,1
Particpant 23255_P10,87.JPG,0,2,0
Particpant 23255_P10,88.JPG,0,3,0
Particpant 23255_P10,89.JPG,0,0,1
Particpant 23255_P10,90.JPG,0,0,1
Particpant 23255_P10,91.JPG,0,0,1
Particpant 23255_P10,92.JPG,0,0,1
Particpant 23255_P10,93.JPG,0,0,1
Particpant 23255_P10,94.JPG,0,0,1
Particpant 23255_P10,95.JPG,0,0,1
Particpant 23255_P10,96.JPG,0,0,1
Particpant 23255_P10,97.JPG,0,0,1
Particpant 23255_P10,98.JPG,,,1
Particpant 23255_P10,99.JPG,1,0,0
Particpant 23255_P10,100.JPG,2,0,0
Particpant 23255_P10,101.JPG,1,0,0
Particpant 23255_P10,102.JPG,2,2,1
Particpant 23255_P10,103.JPG,3,2,0
Particpant 23255_P10,104.JPG,1,3,0
Particpant 23255_P10,105.JPG,2,1,0
Particpant 23255_P10,106.JPG,1,0,0
Particpant 23255_P10,107.JPG,3,0,0
Particpant 23255_P10,108.JPG,1,0,0
Particpant 23255_P10,109.JPG,3,3,1
Particpant 23255_P10,110.JPG,1,0,0
Particpant 23255_P10,111.JPG,2,2,1
Particpant 23255_P10,112.JPG,3,3,1
Particpant 23255_P10,113.JPG,2,2,1
Particpant 23255_P10,114.JPG,1,1,1
Particpant 23255_P10,115.JPG,2,2,1
Particpant 23255_P10,116.JPG,3,0,0
Particpant 23255_P10,117.JPG,1,1,1
Particpant 23255_P10,118.JPG,2,2,1
Particpant 23255_P10,119.JPG,3,3,1
Particpant 23255_P10,120.JPG,2,2,1
Particpant 23255_P10,121.JPG,3,3,1
Particpant 23255_P10,122.JPG,0,0,1
Particpant 23255_P10,123.JPG,0,0,1
Particpant 23255_P10,124.JPG,0,2,0
Particpant 23255_P10,125.JPG,0,0,1
Particpant 23255_P10,126.JPG,0,1,0
Particpant 23255_P10,127.JPG,0,1,0
Particpant 23255_P10,128.JPG,0,2,0
Particpant 23255_P10,129.JPG,0,0,1
Particpant 23255_P10,130.JPG,0,0,1
Particpant 23255_P10,131.JPG,0,0,1
Particpant 23255_P10,132.JPG,0,0,1
Particpant 23255_P10,133.JPG,0,0,1
Particpant 23255_P10,134.JPG,0,1,0
Particpant 23255_P10,135.JPG,0,0,1
Particpant 23255_P10,136.JPG,0,3,0
Particpant 23255_P10,137.JPG,0,3,0
Particpant 23255_P10,138.JPG,0,0,1
Particpant 23255_P10,139.JPG,0,2,0
Particpant 23255_P10,140.JPG,0,2,0
Particpant 23255_P10,141.JPG,0,0,1
Particpant 23255_P10,142.JPG,0,0,1
Particpant 23255_P10,143.JPG,0,0,1
Particpant 23255_P10,144.JPG,,,1
