key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate
,0,0,0,0,1,Q, , , , ,space,1500,1.5,,001,2021-08-17_14h29.38.285,natb3,2021.2.3,Win32,60.3682463
,0,1,1,1,1,W, , , , ,space,2000,2,,001,2021-08-17_14h29.38.285,natb3,2021.2.3,Win32,60.3682463
