trial_number	cb_trial	image_name	prac_or_not	number	letcase	loctyp	sameord	expected_button	RESPONSE_MOUSE
1	B	bu3.jpg	PRAC	43	2	4	0	0	0
2	B	ju3.jpg	PRAC	47	2	4	0	0	0
3	B	ju5.jpg	PRAC	71	2	6	0	0	0
4	B	ju4.jpg	PRAC	59	2	5	DIFFERENT	3	0
5	B	cl2.jpg	PRAC	26	1	3	DIFFERENT	3	0
6	B	gu5.jpg	PRAC	70	2	6	SAME	1	0
7	B	gu2.jpg	PRAC	34	2	3	DIFFERENT	3	0
8	B	bu1.jpg	PRAC	19	2	2	DIFFERENT	3	3
9	B	du5.jpg	PRAC	69	2	6	SAME	1	0
10	B	ku2.jpg	PRAC	36	2	3	SAME	1	3
11	B	ku2.jpg	PRAC	36	2	3	DIFFERENT	3	1
12	B	cl0.jpg	PRAC	2	1	1	DIFFERENT	3	0
13	B	bu2.jpg	PRAC	31	2	3	SAME	1	1
14	B	gl5.jpg	PRAC	64	1	6	DIFFERENT	3	0
15	B	jl0.jpg	PRAC	5	1	1	SAME	1	0
16	B	du1.jpg	PRAC	21	2	2	DIFFERENT	3	0
17	B	cu4.jpg	PRAC	56	2	5	DIFFERENT	3	3
18	B	cu1.jpg	PRAC	20	2	2	DIFFERENT	3	0
19	B	du4.jpg	PRAC	57	2	5	DIFFERENT	3	0
20	B	gl0.jpg	PRAC	4	1	1	DIFFERENT	3	3
21	B	du4.jpg	PRAC	57	2	5	DIFFERENT	3	0
22	B	gu3.jpg	PRAC	46	2	4	DIFFERENT	3	1
23	B	gl1.jpg	PRAC	16	1	2	DIFFERENT	3	0
1	B	ku1.jpg	EXP	24	2	2	0	0	0
2	B	ku2.jpg	EXP	36	2	3	0	0	3
3	B	cl4.jpg	EXP	50	1	5	0	0	3
4	B	bu0.jpg	EXP	7	2	1	DIFFERENT	3	0
5	B	jl5.jpg	EXP	65	1	6	DIFFERENT	3	0
6	B	bl0.jpg	EXP	1	1	1	DIFFERENT	3	0
7	B	dl4.jpg	EXP	51	1	5	DIFFERENT	3	0
8	B	gl1.jpg	EXP	16	1	2	DIFFERENT	3	0
9	B	bu2.jpg	EXP	31	2	3	DIFFERENT	3	1
10	B	bl4.jpg	EXP	49	1	5	SAME	1	0
11	B	bu4.jpg	EXP	55	2	5	DIFFERENT	3	0
12	B	ku0.jpg	EXP	12	2	1	DIFFERENT	3	3
13	B	kl3.jpg	EXP	42	1	4	DIFFERENT	3	1
14	B	ku4.jpg	EXP	60	2	5	SAME	1	0
15	B	cu1.jpg	EXP	20	2	2	DIFFERENT	3	0
16	B	kl3.jpg	EXP	42	1	4	SAME	1	0
17	B	bu4.jpg	EXP	55	2	5	SAME	1	3
18	B	gl1.jpg	EXP	16	1	2	SAME	1	0
19	B	bu5.jpg	EXP	67	2	6	DIFFERENT	3	0
20	B	gl4.jpg	EXP	52	1	5	SAME	1	0
21	B	cu2.jpg	EXP	32	2	3	DIFFERENT	3	0
22	B	gu3.jpg	EXP	46	2	4	DIFFERENT	3	1
23	B	cl4.jpg	EXP	50	1	5	SAME	1	0
